label,text
0,if youre still on stand by for coachella tickets your struggle is real
-1,holy shiiiiit coachella
-1,who else is feeling my pain coachella
1,rt truejosh omg someone take me to coachella
1,rt vanessafranko i am going to go ahead and call theryanadams as the sunset set on outdoor at coachella coachella
1,still crying over the coachella line up and crying even harder that im not going
1,coachella got me going through some tribulations today major heart palpitations man lol coachella heartracing refreshpage swing
-1,thekevinryder i really hope they add the master baiters to coachella i heard theyre awesome
1,coachella tickets go on sale again tomorrow coachella
0,coachella carly and the hawk clit factory
1,excited for lykkeli coachella
1,theweeknd yesss ill see you soon babe coachella xotwod
1,rt monicafulmer fuck me dude i want to go so baddddd coachella
1,this supertalented young lady really knows how to work a tune six stars nashvillemusic guide coachella
-1,this years coachella performers are okay you have the weekenddrakemarian and diamonds but where is lana del rey coachella
1,rt immadisonp im an like super excited for coachella drake amp theweeknd my two fav people of all time
1,okay im a little liar the lineup is growing on me now coachella
0,soo who got their coachella pass coachella
1,destinysoko i pretty much have to go now coachella
0,drake action bronson absoul vic mensa rakewon ghostface the full coachella lineup
-1,its not that the bands you know are worth the its that youll have an excuse to do drugs for three days coachella
-1,my phone sucks for examining the coachella poster so jack white is on but not the dead weather how bout eagles of death metal
0,the coachellalineup rules coachella coachella
1,hoping for a back in black cow on friday coachella lineup the verge coachella
0,what will drake open with coachella
1,photo years strong i cant wait for this its gonna be amazing coachella campgrime
0,rt langmarmendoza breaking news acdc jackwhite drake to headline coachella coachella
1,okay if i dont go back to school this semester coachella is the move
0,rt oneofthaboys mydesert coachella festival passes sell out in minutes coachella
1,exciting first festival of the year announced time to start predicting other lineups coachella fieldtrip osheaga ottawabluesfest
1,this coachella lineup is sick going coachellaonfleek
1,coachella tickets selling out in less than minutes
1,rt spotlightedm this coachella lineup is insane coachella cantwait bestyearever
0,coachella national music editor coachella newfoundland can saint johns
-1,the lineup for coachella leaves a lot to be desired
1,its official coachella coachella coachella takemebackalready
-1,well hoping for another year of music festivals i dont get to go to today thnks a bunch coachella
1,coachella got everybody like
1,the worst text youll ever receive coachella
1,really really really really wants to do coachella this year the line up is amazing coachella
1,coachella lineup is amazing cant wait to be there coachella
1,stpbrokenbones would be worth going to coachella for
1,what a lineup the dan returns coachella acdc steelydan drake among headliners
1,umm can i go to cxoachella with you please abel xo theweeknd coachella
1,coachella this year has some greats not all greats but who knows i most likely fall in love with a new bandsinger coachella
1,florence the machine cant wait to see you she has a voice of an angel coachella
-1,rt caffaccino not gonna lie coachella and govball lineups have been underwhelming so far maybe firefly will be better
1,rt and save a life coachella
0,leakrew check out the coachella lineup coachella coachella
-1,who the hell is this acdc guy opening up for drake coachella
1,rt nicolefalvarez remember coachella tix go on sale at noon the internet will explode shortly thereafter prepare to take cover co
1,rt dopeposts drake vicmensa runthejewels raekwon abdashsoul and more to rock coachella
1,cant wait to hear this track live at coachella in april coachella coachella weekend tameimpala feelsli
1,coachella ga both weekends sold out music coachella
1,coachella lineup is righthoping this leads into other rad festival line ups jamiexx ryanhemsworth macdemarco fkatwigs
1,acdc en coachella cant wait
1,i would have posted this sooner but i was too busy dying of excitement any other aussies heading to coachella
-1,not too impressed with coachella lineup but florence brand new and circa survive on the same day damnnnnn
1,fuck you im going to coachella
1,very pleased with the coachella line up
-1,fuck me coachella
0,if anyone has an extra ticket to coachella and possibly a plane ticket too hmu thanks
1,rt nickkylovee the weeknd is coming back coachella
1,the new coachella line up would love to be going coachella
1,i want to goooooo coachella
0,rt cwagss still about brookesheadonastick coachella tho
1,people everywhere are getting their cassettes out to prepare for the coachella line up
-1,theellenshow acdc got their name off the back of a vacuum cleaner are vacuum cleaners allowed at coachella acdc coachella
1,rt spenceermalnik coachella baby
1,rt michaelaronwits crying bc dream come true coachella
0,ga tickets for coachella are sold out on their website where can i buy weekend tickets and car camping pass coachella coachella
-1,govballnyc has a better line up than coachella smh
1,hi guys i need you to hop off the coachella page so i can buy my fucking ticket kthxbye coachella
0,rt mitchmarzuola kanye shows up anyway and has his own tent specifically for rants coachella
1,just saw radkey is playing coachella good for them awesome new band with classic punk sounds
1,weekend crew waddap coachella
1,interesting lineup for coachella this yearcoachella
0,drizzyyyyy forever the lineup is here coachella
1,nerouk for the win coachella
0,im not going to vegas on fridaybut ill be in cali for coachella
1,the coachella line up looks sickkkk
-1,dear coachella find better headliners please coachella coachellalineup
1,i wanna go to coachella the line up is sick just need to rob a bank now then fml
-1,acdc headlining friday playing after the likes of tame impala eff off coachella
0,rt alexkaitlin the coachella lineup coachella
0,this years coachella is being headlined by acdc jack white amp champagnepapi coachella hrp howiewood
1,turn all the way up we in derrrrr hsquaredd coachella
1,randomly want to go to coachella in april
0,this lineup tho coachella
0,lilbthebasedgod is preforming at coachella
1,rt frizzyjimz yeaaaaaaahhhhh got my tickets coachella
1,mileys getting ready for coachella bleach blonde it is
0,coachella because interpol and brandnewrock
-1,wheres daft punk coachella
1,im saying no to coachella fomo notothefomo mustgettickets i can only imagine the special guests that would come eeeekkkkk
0,damn had devices up to try and get coachella tickets and that shit still failed
1,west coast woodstock aka coachella countdown begins coachella calilife
1,dat line up tho coachella
1,this someone please just bring me coachella
1,coachella i need to be there i need a job with more pay tame impala and interpol aaah
1,coachella lineup is pretty sick as always ride holy tatas thats going to be incredible
1,every year when i see the coachella line up and realise im not going i get emotional bucketlist coachella
1,you had me steely dan amp caribou coachella
-1,rt ohmoses im not friends with people who love the sahara tent coachella
0,rt moriaritya coachella minutes may the odds be ever in your favor kayleyjaye jordansjordans mattcirac
1,i cant wait for and you shook me all night long at coachella
0,this coachella lineup tho raekwon rtj flying lotus vic mense drake tyler the creator john talabot
0,coachella lineup announced coachella coachellalineup
1,fingers crossed for a theryanadams amp drake duet coachella
-1,instead of attending coachella im going to post on craigslist inviting misc unshowered teenagers over to throw dirt on each other
0,mitchdawson hoagietweets roadie coachella treatmeright keysnkrates
1,errybody likes acdc notmarkcameron hipsters like acdc coachella coachella
1,rt gelicapickles coachella im so ready for this coachella here i come my first coachella experience and the
-1,drake at coachella whack as fuck hands down
1,just got x more hyped my lord coachella
1,rt brownjenjen coachella coachella makes space for rockers and ravers this year coachella oh
1,i wish dvbbs was at coachella come to southern cali
-1,cant picture la hipsters lining up to buy tickets to see acdc but what do i know coachella
1,take me with youuuuuuu rt pipaval iz happeninnn coachella
1,coachella lineup i want to go coachella
1,rt llcoollj coachella huh this will be epic see you there
1,sooo whose coming w me to indio california coachella
1,more hour coachella
0,forever the lineup is here coachella cintiaiy nthhn
-1,anyone else kinda disappointed in coachella
1,should i be job hunting maybe but i kind of want to go to coachella so that has occupied most of my day whynot yolo whoscomingwith
1,new year new me is over here come all the time to work on my coachella body coachella tweets hahaha
0,cforever the lineup is here coachella
-1,coachella i dont see calvinharris in your lineup coachella coachellaneedscalvin
1,drake lil b coachella
1,rt erichoang someone sell me one car camping pass for coachella weekend please coachella coachella coachellatickets
0,forever the lineup is here coachella
1,erol alkan all im really stoked about tbh coachella
1,idk why yall are complaining this is a great lineup coachella
1,rt tamstation amazing line up for coachella i have two tickets for wend that i bought last year on presale for sale dm me
1,ackersboy see u at coachella
1,chiefkeef go to coachella bring the glo boyzz doe
0,j cole glad to see azeala banks though rt revolttv who else would you have added to the coachella lineup talkback
-1,this years coachella lineup is killing me coachella
0,that moment when you realize you wont be able to attend coachella
0,coachella phanart bloodandgauraa send them your article get coachella passes do expose on drake
-1,how do you get punched by puff daddy and then headline coachella a few months after that there is no coming back from that coachella
-1,coachella kicksoff on twitter coachella is near palm springs coachella coachella cc doctorgraffin
-1,rt jorschach coachella ticket prices have my soul like
-1,really drake at coachella hmmm interesting coachella
0,the only good thing about the coachella lineup that will be worth seeing is jack white
0,coachella lineup announced
1,coachella guess who goin bitchhh
1,rt cperez kygo oliver heldens porter robinson floss all the edm acts are good coachella
-1,pitchfork acdc who the fucks still listens to them coachella has lost its brilliance over the past couple of years coachella
0,nor am i wealthy enough to go to coachella
1,rt angmeister have fun yall brochella coachella
-1,if coachella had death metalsludge bands id go coachella
1,rt applepiehappy i need a sugar daddy to help me get to coachella
0,interpol goes future bass coachella
1,maglsquared jwilliams jennakwilliams youre coming too ryan adams made the line up coachella calibound lets go
0,mydesert coachella festival passes sell out in minutes coachella lol
0,rt brittanyray brikeha does coachella velociraptor meleahlongtime
-1,rt misterdisco coachella the festivals worst lineup ever amp the reason why you shouldnt buy tkts year in advance blindly
1,the lineup for coachella is looking very promising will you be in attendance
1,the line up for coachella
1,tame impala flylo cashmere cat floss odesza brand new caribou so ready coachella
1,not bad coachella
1,these next months better fly by coachella
-1,rt stephanysmith i wanna go to coachella but its like
1,coachella line up is amazing so excited coachella
1,coachella i will be there
0,ive only heard of bands on coachella please direct me to the nearest old folks home
0,i guess im stepping out of my granny pants and putting flowers in my hair coachella
1,cant wait for flotweet at coachella
0,nowplaying i follow rivers the magician remix lykke li i follow rivers coachella
0,rt tonyheally my totem for when drake headlines coachella
0,suprememaggot eddietrunk eddievanhalen hangn with jeremy rogers n mike matulo n their thrown rox at tha blacks coachella mikebrown
1,gym time coachella
1,the coachella lineup is awesome i cant wait
1,coachella line up is omfg
0,forever the lineup is here coachella
1,rt charlieridler ngl coachella looks fucking sick
-1,rt aireyacoustic coachella line up isnt all that coachella
0,im guessing about of people posting about coachella googled acdc thinking they were edm coachella
0,xxl drake runjewels and more will perform at coachella coachella
1,pray for me to go to coachella
1,have fun yall brochella coachella
1,honestly need to go to coachella
1,weeknd altj hozier vance joy marina milky chance drake florence david guetta nero coachella i need to go
0,rt morganneshae coachella got everybody like
1,lmao rt defpenradio we see nothing wrong with this coachella lineup
1,ticket to coachella sortedanyone got any trendy leggings i hear they are the rage
1,coachella line up is decent
1,wishing i lived in america coachea line up is too good ahhhhh coachella coachella acdc
1,rt funnynbaguy in case you are into music and stuff like that coachella
0,abetteryoumovie peeps in hrs were announcing our coachella counter punch abetteryouathon abetteryoupalooza abetteryoucon
1,coachella tix bout to drop dayum
1,applepiehappy i need a sugar daddy to help me get to coachella samsies
1,the time has come you guys get ready to empty you bank accounts kiddies coachella coachella
1,rt beemellowchild wayyyy to excited about alesso dj snake florence and the machines the weeknd drake coachella
1,mitchellcurry most excited for father john misty on saturday at coachella goddamn motherfucking right
1,coachella tickets sold out stupid fast coachella
-1,coachella festival scams thousands amp thousands into purchasing unwanted shuttle passes what a scam
1,acdc ride tameimpala stvincent and steelydansays on eclectic bill for coachella odd but good
1,rt mymilkjakes the true coachella lineup
1,omggggggg im so happy for losrakas coachella
0,rt smitharyy ontario can etobicoke update coachella national music editor coachella
1,sashadrobinson he ovojosh was probably the same genius that booked steelydansays to open acdc during coachella
1,just bought my ticket for weekend at coachella happy early birthday to me couldibemorela amibasicnow labucketlist
1,omg i want to go to coachella soooooo bad
-1,i could see the like good bands playing coachella all individually and still have money left over notworthitthisyear coachella
-1,is anyone getting coachella tickets yet the page is just on standby for me
-1,pretty devo that coachella is already sold out
-1,anyone else not completely sold coachella
0,rt mackstagram reminder i have a vip coachella day weekend pass that i need to get rid of asap dm me if interested coachella
1,rt diannesecret cant wait for coachella coachella
0,coachella tickets officially purchased
1,kygo oliver heldens porter robinson floss all the edm acts are good coachella
-1,coachella already sold out wtf
1,coachella line up had me shedding tears id get my edm amp rap fix so good ab soul amp the weeknd tho
1,acdc vance joy milky chance chet faker are just a few that i absolutely must see holy smokes im so excited coachella
1,if i got a coachella ticket how much better does that make me than you kingofthewhitepeople
0,nowtrending coachella whos excited to send us some coachellaselfies this year with their aaronsteadyhand
1,iz happeninnn coachella
1,rt wyetthasspoken gfly its that type of year when people fake like the listen to or even know what indie music but hey thats them
1,that amazing moment when my dad says hell think about getting me tickets to coachella or bottlerock
1,rt ladytrishaxoxo ok i wait i found one i can read drake djsnake flosstradamus yellowclaw lilbthebasedgod who do i sell my soul to g
0,i wonder who are they going to add at the last minute last year we got julian casablancas and the pixies coachella
1,excited about coachella glad i already have my ticket coachella
-1,rt akod ratatat are pokemon allowed to have bands now coachella
1,can april just hurry up ive got some awesome people to see coachella coachella
-1,rt sadpatrik im v down for coachella line up
0,of the coachella acts have played on our stage before randomfacts
-1,what no hardstyle on that lineup and ppl are stoked well pass on it coachella
1,coachella take my money
1,coachella lineup crazy
0,reminder i have a vip coachella day weekend pass that i need to get rid of asap dm me if interested coachella
0,rt markerito when weekend is sold out coachella
0,downloading the apps so that i can feel the vibe coachella dontcare
0,the coachella lineup has been announced acdc jack white drake to headline the festival
0,weekend one or weekend two coachella
0,pretty much coachella
0,migos shows up and debuts shmigo gang with a bobby shmurda hologram coachella
-1,coachella not enough latin artists
0,coachella saturday jack white weeknd altj ratatat flosstradamus sbtrkt run the jewels tycho chet faker toro amp moi
1,ooooh yessss lexza see you sooncoachella
1,coachella lineup announced commence my basicness about how much i cant wait for it and to be in cali
1,yuma tent is gonna be coachella
1,ericcbadass ayyy so we going to coachella or
-1,rt josehare i wasnt ready coachella coachella
1,holy lineup coachella
0,coachella line up stokes countdown begins
0,leggo maveefaye winieeeeee nadelhvk hl ciexel coachella coachella
1,drake heading coachella and govballnyc show some houston love and say youre coming to fpsf
1,conversations with darlene coachella drake need
1,ya bitches coachella
1,rt chamilton flippin out cuz kaskade will be at coachella
1,woohoo were going to coachella to see acdc
1,the war on drugs jack white tame impala interpol and fka twigs though coachella
1,coachella line up got me likeee coachella
1,where to travel next edcpuertorico coachella ultra
1,coachella whoa the weeknd amp drake performing
1,drake did say we already got spring poppin coachella
-1,portlandaniel coachella ah man thats a bummer caleb and i have been training for it coachella
1,looking for two ga coachella coachella tickets car camping crychellak
1,here goes coachella
-1,no paul mccartney at coachella because this is for big names only right kanye fans coachella
1,so glad i preordered my coachella tix to get a gold vip wristband to the jimmy buffet margaritaville chill out tent after steely dan
1,rt tannerontwitta i wont miss this coachella
0,coachella scoop jack white will share the stage with a hologram of white stripesera jack white coachella
1,rt tladyxo going even if i have to sell my grandma coachella
1,so which lucky people got tickets to coachella coachella coachella
0,rt dallassf stoked to take instagram photos amp watch nba playoff games on my phone while brandnewrock plays coachella
0,heres what coachella just might sound like this year gt
-1,coachella line up is weak as fuck
0,rt mattmanookian so whos going weekend coachella
0,lol there is literally a drake marathon on the radio right now coachella
1,rt flowerchildhair ready for coachella were here to help flower headbands amp hair tutorials at coachella
0,drake coachella ayfkm
1,we going to coachella also or wha crgventures
-1,im hoping i wake up tomorrow and there is a better coachella line up coachella
-1,when the lineup for coachella is announcedcoachella
1,congrats coachella your lineup is fuckin unreal coachella
0,coachella anyone april coachella coachellalineup
1,losrakas wow congratulationsgod bless rakanation soyraka coachella super happy for you guys
1,the second weekend of coachella is the weekend of my st birthday now accepting birthday presents coachella wishfulthinking
1,for those about to rock on vinyl for xmas so looking forward to coachella bdc
0,rt freeconcerts thoughts on the coachella lineup
1,oh my shit the coachella lineup coachella needtogo
1,brah coachella coachellalineup lineup nofilter coachella
-1,ok im not crazy about the coachella lineup im waaaay more excited for the bottlerock lineup yaaaas
1,and my bday month countdown begins coachella acdc theweeknd drake weekend shopclosed kaskade
1,april come fastercoachella
1,thinking bout blowing money on coachella thelineuptho decisions
0,nickdevlv officially official coachella lucky you
1,alesso is playing coachella so is kaskade axwell ingrosso amp so many more im one happy girl plur ravedoll coachella
1,coachella lineup soooooo fucking good ef
1,rt coleworld counting down the days boys starrpower gusf coachella
1,i knew fucktyler would be on line up coachella
1,also cant believe how high up on the line up odesza is so proud coachella
1,rt ayotiffany got my ticket coachella
-1,cries coachella selenanotgomez
1,and the coachella lineup is up coachella
1,i hope i get to go to coachella this yurrrrrrrrrr lol really thoughwould like to go forrul coachella
1,stromae amp acdc in coachella i want to be there i will one day usa music california
1,oh you know its coachella coachella coachella season
0,rt mileyboardcast is miley gonna perform on coachella
1,brand new at coachella means i am going to have a high school hannahaissance so hard
0,i wonder whos hologram will make an appearance at coachella
1,hell yeah the coachella lineup is out now i know what bands im not going to see coachella
1,rt elithekidd looking for coachella passes someone be my savior please
1,i cant believe i get to finally see acdc live coachella
1,stromae is going to be at coachellai must go coachella
0,tickets to coachella music festival go on sale tomorrow acdc top billing sandiego
1,forever the lineup is here coachella thegraae forever dreaming
-1,if i see one more coachella tweet im gonna cry
1,the only thing about coachella that i care about is chetfaker but that thing i care about i care a lot notwinning ustourplz
1,so who wants to go to coachella with me
1,in i said coachella is gonna happen and i meant it i saved up for it and everything its happening
0,coachella lineup has been announcedwho r u most excited to see redcarpetroxy coachella vanessahudgens
-1,fuck you coachella
0,is it just me or are all the biggest music festivals going back in time with their headliners coachella glastonbury old music
1,who ever wants to buy my coachella ticket let me know coachella coachella coachellalineup
1,coachella baby
0,how can this east coast kid win some tickets to coachella coachella
-1,honestly dont know what to think about steely dan playing coachella like just sitting at my desk shaking my head
1,patiently waiting coachella
1,acdc at coachella just took this festival to another level no fucking way coachella coachella
1,actionbronson abdashsoul theweeknd drake lilbthebasedgod see ya coachella coachella right in my hometown
0,rt mileycyrusph miley is attending amp getting ready for coachella
1,this might be the best coachella lineup yet coachella
0,nothing really surprising thought radiohead would be the big surprise of coachella and have it it kick off a summer tour coachella
1,ill take one coachella ticket please i shall see drake
1,coachella lineup announced who picked the headliners but acdc tho
0,rt langmarmendoza check out how social media reacted to coachella tickets selling out in less than minutes
1,cant wait for coachella coachella
0,i just like that steely dan is trending on twitter coachella
1,if briana and her mom out to coachella im out with them
0,what do you all think of the coachella lineup i think we should grace their stage wink bear newmusiccoming coachella
1,holy shit coachella
1,im going to pull a marcushaney and sneak into coachella life goals
1,nowplaying djsnake with visions of little palmtrees dancing in my head coachella
1,so pretty much everyone awesome will be there coachella
0,robeholmberg no they will all end up at popes in palmspringslike all the other middle aged perverts coachella
1,coachella lineup coachella coachella indio
1,i knew my girls would be with it frenecybarroso jordanaaliyah coachella
1,whhooooaa acdc headlining coachella nicely done coachella via latimes
-1,cant w for coachella
1,time to listen to some of these up comers so i can see them live coachella
1,websterhall so many of our faves in the coachella lineup thoughts uhhhh prettymeesh we out
1,the coachella line up is out of this world
1,lil b at coachella im so proud
1,cant remember who told me to look at the coachella line up and via what form of social media but
1,whose down for coachella
1,so need to go to coachella
0,im calling it oldchella emilycagan um yeah no coachella
1,chicanobatman made the bill coachella
-1,worstepisodeever coachella coachella
0,take a look at the coachella line up for coachella
1,i am going to go ahead and call theryanadams as the sunset set on outdoor at coachella coachella
0,and in what shouldnt be a shock sly stone is not back on the lineup for coachella
1,acdc is headlining coachella this will be the first year in coachella history that actual residents of indio ca attend coachella
1,turn down for what coachella coachella coachella
1,just got real coachella jacobhoefert
1,just bought my coachella tickets with aylephant and minh do i could already tell that is gonna be amazing
0,anyone wanna go to coachella with me coachella
1,the headliners are ehhhh but the overall line up is muy bueno coachella
0,coachella tickets on sale today at noon coachella
-1,in more illegals are taking good american jobs drake coachella
1,ill c jw again but no way it will compare to his set at bonnaroo yay for the undercard i wont be selling my tix coachella
1,i have to go to coachella if my baby drake is performing
0,so coachella sold out real quick like real quick
1,young drochella coachella coachella
0,get the full coachella lineup and details now tickets on sale tomorrow at pm coachella coachella
1,may the odds be in your favor coachella
1,wait ride like shoegaze ride gon be at coachella coachella
0,the coachella lineup acdc drake as a headliner and steely dan full lineup here
0,rt kirkroos abetteryoumovie peeps in hrs were announcing our coachella counter punch abetteryouathon abetteryoupalooza ab
1,rt brittaniashaka i wanna go to coachella
1,coachella favorites theweeknd kiesza drake altj fitzandtantrums odesza vancejoy
1,kristinamerc joe goes hard coachella
1,rt murdamacrio good look losrakas coachella teampanama
1,fucking unreal lineup lets gooo coachella coachella
0,acdc amp steelydansays are among the headliners for the first night of coachella or as theyre calling it this year parents night
1,the best thing at coachella
0,its still january and people are already hyped about coachella wow
1,brokephibroke weaintgotit rt ashleysanks so uhhhh coachella
0,thinking of going to coachella hmmm
1,imakemsay i want to go to coachella just to see azealiabanks perform send me two tickets bitch
1,i think im going to pass out before i even get passed the standby page coachella
1,can i please just go to coachella this year the lineup is too perfectcoachella
1,coachella coachella kjptweets coachella lineup
1,i see nlapi is ready for coachella coachellanick
-1,not fully impressed by coachella
0,kaskade forever the lineup is here coachella cue the flower headband display front center hahaha
-1,i dont know whos going to be more horrified at coachella this year the year olds watching steely dan or steely dan coachella
1,got my passes whos comin with us coachella
0,coachella acdc steely dan drake among headliners coachella having peforme
0,secret cheese amp the flavorwaves vinyl christ weaselpocalypse rinse lather repeat dongspiracy lukewarm vacation coachella
-1,acdc jwhite coachella
1,happiness gt wow coachella
1,eeeeeee coachella lineup is sweeeeeet
1,anyone who want to sponsor a student to get me to coachella that lineup though crowdfunding helpmeimpoor wowee
0,circa survive interpol fka twigs bad religion madeon coachella
1,just saw the list of awesome artists for this years coachella festival i wanna go coachella fosterthepeople nero
1,flotweet drake theweeknd alabamashakes and brand new will be there coachella i wish
0,coachella lineup announced axwell ingrosso alesso defjam coachella
1,the coachella lineup is here its got acdc drake as a headliner and steely dan yes you read that right
0,click on the link or the picture to see the coachella lineup coachella
1,ovonikkie you are probably happy abouot coachella
1,the fact that coachella is happening when im in los angeles in a few months is very tempting
1,finally fucken about time coachella coachellalineup omfg cantwait rage plur coachella
1,artists that i didnt know that stuck out to me gt are a must see for me coachella
1,here you go another solid lineup courtesy of your friends at goldenvoice coachella coachella
1,rt xoladyb i wanna go to coachella sooo baddd
1,rt jmunoz these next months better fly by coachella
0,the season has begun coachella
1,gonna be going to coachella its gonna be fun i cant wait
1,coachella interesting line up i cant wait to make some memories and forget my troubles in the desert coachella dreamingofthedesert
1,rt daniellajpeters whhooooaa acdc headlining coachella nicely done coachella via latimes
0,im in kansas so whos taking me coachella coachella willbeyoursexslave
1,ucla has good wifi coachella
1,rt skinnygenestv moment of silence for that coachella lineup fml
-1,i was really hoping big krit amp frank ocean would be apart of coachella
-1,rt margsshewrote if youre going to coachella just admit now youre going to do drugs in the desert cause everyone knows youre no
0,coachella tickets purchased roll on april coachella
1,im so ready for coachella
0,they still trying to make tyler the creature happen coachella
0,can we talk about saturday coachella
-1,wow coachella tickets sold out in just minutes fuckin craaay
1,if someone would like to give me before pm later today it would be greatly appreciated i will find my own way there coachella
1,ill be having a bit of coachella on sunday april th please amp thank you coachella
0,to go or not to go coachella coachella decisions
1,i too want coachella tickets
1,coachella woaaahhhhh
1,time to get thatblondie her coachella ticket raverchicks plur coachella
1,coachella tickets have been on sale for two hours and general admission is already sold out coachella wow
0,the latest coachella lineup is too poppin
-1,raury whos responsible coachella
1,take me to coachella so i know its real
1,cant wait for coachella
-1,zomg coachella why oh why
1,really wish i could go to this coachella
1,my blood pressure has never been higher coachella ticketprobs
0,lil b tyler flying lotus coachella
0,lineup coachella
-1,once again the coachella line up just disappoints only a few decent performers this year coachella
1,i definitely need to be at coachella
1,now we play the waiting game bebe coachella
0,coachella tickets go on sale tomorrow are you ready coachella coachella
0,the coachella lineup is here its got acdc drake as a headliner and steely dan yes you read that right
1,i wish i could go sooo bad coachella
1,coachella lineup brings tears to my eyes
1,going even if i have to sell my grandma coachella
0,jheneaiko why aint you performing at coachella
0,why must the rates go up and the rooms be full coachella coachella thingsihateaboutcoachella whycoachella
1,if the lineup is out its never too soon to start planning our outfits rightcoachella
1,this will be huge coachella coachella
1,coachella omfg the line upwhy so far
1,i want to go to coachella coachella
1,the weeknd tyler the creator fka twigs altj steely dan drake and so much more coachella cant come soon enough
1,i might be pregnant af when coachella is going on but here i am still daydreaming of going
-1,cant even secure a ticket for weekend coachella so frustrating
1,holy crap that didnt take long rt thescenestar sold out coachella coachella rt coachella thank you
0,coachella archery for lions
1,dirtysouth what an honor to play coachella cant wait coachella grcryn
0,probably not one of the strongest lineups regarding headliners in recent years for coachella but probably one of the most underrated
-1,am i the only one that was not impressed with the coachella lineup having a ticket and all
1,the coachella lineup holyshit coachella
1,only the day one lineup for coachella looks good
1,if anyone knows a coachella contest i can enter holla coachella
1,hoping for a tameimpala alabamashakes rideox fauxchella this year coachella sanfrancisco livemusic
-1,someone take me to coachella
1,wish i could go to coachella
1,the coachella line up is so sick
1,the wait is real coachella
1,coachella weekendone coachella excited brandnewrock champagnepapi marinasdiamonds
0,steely dan and drake at coachella
-1,ngl coachella looks fucking sick
1,trynna but coachella tickets like coachella
